PDB ID	Ligand ID	overlap	lig_vol	pock_vol	mean_as_solv_acc	hydrophobicity_score	convex_hull_volume
4yqd	4GZ	100.0	349.52	572.04	0.6	17.1	147.93
4yqg	4GY	100.0	166.73	401.89	0.55	20.7	52.05
4yqi	4GX	100.0	213.81	552.31	0.52	25.26	129.37
4yqj	4GT	100.0	142.87	386.23	0.51	20.7	54.76
4yqk	4GS	100.0	150.63	509.29	0.54	20.7	84.74
4yql	4H4	100.0	172.96	653.7	0.57	20.7	216.08
4yqn	4H3	100.0	182.77	487.15	0.54	20.7	95.86
4yqo	4H1	100.0	251.74	536.27	0.49	22.53	118.47
4yqp	4H6	100.0	276.59	675.89	0.54	26.35	182.44
4yqq	4H7	100.0	295.47	732.22	0.53	24.52	228.62
4yqr	4HQ	100.0	211.79	481.4	0.52	22.53	78.81
4yqs	4H9	100.0	170.68	380.02	0.52	22.53	50.14
4yqt	4H8	100.0	175.11	392.79	0.54	20.7	59.5
4zh8	4O4	100.0	397.2	828.95	0.52	23.17	331.64
4zha	4O5	100.0	211.91	833.95	0.54	23.58	337.92
5cqi	GOL	100.0	197.55	673.29	0.48	19.43	541.03
5d9f	58G	100.0	205.19	488.42	0.5	24.43	145.47
5yjx	MYX	100.0	1328.44	2860.57	0.48	20.23	10351.0
5yjy	8WF	100.0	685.02	1401.92	0.48	42.68	3385.17
6ddi	G7V	100.0	1089.37	3035.13	0.46	23.83	10588.16
6z80	8GT	100.0	4992.77	9675.72	0.47	21.0	153913.11
6z85	HBI	100.0	1316.39	2898.59	0.44	2.33	75791.64
7gax	KJI	100.0	203.58	702.17	0.58	26.85	212.34
7l99	XWJ	100.0	1722.5	5283.12	0.47	27.36	19804.19
7lay	5W2	100.0	807.48	1792.45	0.5	23.43	3246.97
7mrd	ZMV	100.0	1090.81	2512.39	0.51	27.85	2884.3
7q7k	9I5	100.0	218.56	581.46	0.48	33.09	115.28
7usg	O6O	100.0	251.76	778.08	0.5	36.58	193.87
6ct5	FD7	100.0	573.1	1548.84	0.45	28.63	1175.7
4qb3	30M	100.0	272.92	661.59	0.53	39.67	182.96
4yjt	4DQ	100.0	364.64	850.22	0.47	28.0	221.1
4yju	4DO	100.0	335.96	1181.41	0.45	19.48	596.79
1w6k	LAN	100.0	314.52	742.1	0.5	53.66	239.43
5cqh	DC	100.0	190.82	266.14	0.53	3.27	0.0
4l7s	G7K	100.0	988.42	2017.96	0.53	17.79	3612.86
3rde	OYP	100.0	1663.95	3653.43	0.48	53.13	20833.7
3hii	PNT	100.0	324.04	1622.6	0.49	34.81	5515.16
6ryp	KNH	100.0	518.64	1145.43	0.53	44.0	778.42
4l9i	8PR	100.0	873.89	1676.57	0.48	20.81	4826.99
4q6r	30J	100.0	675.07	1924.26	0.51	47.19	4564.55
1pl6	572	100.0	0.0	2091.08	0.53	31.36	59128.71
6r7d	JUQ	100.0	11482.13	12043.7	0.49	40.62	205683.22
1itu	CIL	100.0	283.11	750.12	0.53	7.26	1132.24
5wo4	B7V	100.0	263.67	1448.71	0.46	16.3	2640.48
4yjp	4DL	100.0	342.04	874.55	0.46	31.71	280.4
2v77	PAY	100.0	319.79	1116.37	0.52	20.4	3002.02
2c97	JCL	100.0	950.08	3261.58	0.47	31.71	14329.04
4yjs	4DN	100.0	395.93	796.81	0.46	29.82	248.08
5jwc	4W0	100.0	2315.08	3863.22	0.54	12.32	11936.45
5yjw	SMA	100.0	383.15	1179.91	0.48	50.83	1188.14
6xi9	V47	100.0	726.47	1680.53	0.52	15.3	1840.66
4yjq	4DK	100.0	338.05	916.38	0.51	25.32	333.57
4q6r	SIN	100.0	78.53	372.27	0.47	28.56	57.78
4yjo	4DF	100.0	356.15	925.67	0.53	24.69	346.23
4y76	4O1	100.0	384.08	780.12	0.57	22.52	359.45
1kqb	BEZ	100.0	331.08	2676.92	0.51	16.91	14216.76
4kxb	BES	100.0	230.87	661.21	0.5	1.26	156.63
5iki	A9H	100.0	228.94	742.87	0.6	49.9	224.04
4y79	4O6	100.0	335.14	779.12	0.59	19.7	316.37
4yjr	4DJ	100.0	362.8	770.8	0.48	27.17	219.55
5ig6	6B3	100.0	408.34	607.7	0.52	34.5	112.29
4mk0	29X	100.0	266.79	560.71	0.5	18.7	117.05
3lxn	MI1	100.0	255.37	573.79	0.5	12.73	138.24
